role,name,team
student,ltzehan,CS2113-F10-1
student,lihka1202,CS2113-F10-1
student,iantenkai,CS2113-F10-1
student,mitchmalvin1,CS2113-F10-1
student,JangusRoundstone,CS2113-F10-1
student,khooyourun,CS2113-F10-2
student,YC-Michael,CS2113-F10-2
student,WilsonLee2000,CS2113-F10-2
student,ZiqiuZeng,CS2113-F10-2
student,0nandon,CS2113-F10-2
student,jaredoong,CS2113-F10-3
student,TopGun2001,CS2113-F10-3
student,JuneNita,CS2113-F10-3
student,notbingsu,CS2113-F10-3
student,gurmankalkat,CS2113-F10-3
student,ngyongjian,CS2113-F10-4
student,raydent30,CS2113-F10-4
student,danxuZhang,CS2113-F10-4
student,HiIAmTzeKean,CS2113-F10-4
student,YatPang,CS2113-F13-1
student,LimHongYao,CS2113-F13-1
student,Aung-Phone-Naing,CS2113-F13-1
student,liuziyang020319,CS2113-F13-1
student,Samueltansw,CS2113-F13-2
student,namsengi11,CS2113-F13-2
student,sistine-yu,CS2113-F13-2
student,SpeciLiam,CS2113-F13-2
student,matthew-liu-zhenjie,CS2113-F13-3
student,hrithie,CS2113-F13-3
student,kyrixn,CS2113-F13-3
student,Zemdalk,CS2113-F13-3
student,miahjerry,CS2113-T11-1
student,jeraldgau,CS2113-T11-1
student,thant,CS2113-T11-1
student,skyanzy,CS2113-T11-1
student,MichelleLiang0116,CS2113-T11-1
student,Ansenn,CS2113-T11-2
student,chiayuxuan,CS2113-T11-2
student,sriram-senthilkr,CS2113-T11-2
student,bentohset,CS2113-T11-2
student,TayJiunYuan,CS2113-T11-2
student,shawntangy,CS2113-T11-3
student,SpawnageLoong,CS2113-T11-3
student,pyongjie,CS2113-T11-3
student,GraceZhuXY,CS2113-T11-3
student,marekpinto,CS2113-T11-3
student,jeromeongithub,CS2113-T11-4
student,clement559,CS2113-T11-4
student,ERJUNZE,CS2113-T11-4
student,RuiShengGit,CS2113-T11-4
student,KedrianLoh,CS2113-T11-4
student,Rayleigh47,CS2113-T12-1
